"file","w","g1","g2","yg","y1","y2","yb","b1","b2","b3"
"11_F_2020-06-14_10-20_O.png",0.848562970606806,0.00418951966300076,0.000580748824366477,0.000160206572239028,0.000356341824281662,3.29837060492117e-05,0,3.12167217965754e-05,0.123262465484908,0.0228235465965527
"11_F_2020-06-15_09-30_O.png",0.854250892916042,0.00397159160517561,0.000492988606485539,0.000122510908182786,0.000267403616898966,2.59157690386663e-05,0,6.95013806036961e-05,0.114842785521095,0.025956409676477
"11_F_2020-06-16_12-40_O.png",0.85500657318142,0.0056596505611942,0.000508302470008387,0.000104841065656423,0.000259157690386663,2.53267742877875e-05,0,4.06406378106358e-05,0.107516868809665,0.0308786388095709
"11_F_2020-06-17_18-00_O.png",0.854937660795567,0.00316643578072432,0.000693246821784324,0.000168452498751331,0.000485920669474994,4.71195800703024e-06,0,2.9449737543939e-05,0.110795802587807,0.0297183191503397
"12_F_2020-05-28_18-20_U.png",0.820125715039628,0.0348832141207958,0.0490915344962446,0.0766788706379049,0.0129808553146174,0.00010130709715115,0.00337376193303365,0.00237070387228709,0.000306277270456966,8.77602178809382e-05
"12_F_2020-05-29_20-10_U.png",0.832281977703015,0.00381963095944889,0.0495067757956141,0.0678198005899371,0.0439678691583501,0.000139591755958271,0.00141594338111259,0.000530684270541781,0.000341027960758814,0.000176698425263634
"12_F_2020-05-30_18-00_R.png",0.83336455005513,0.00673633296580061,0.0473251392383591,0.0544967393250591,0.0452141820512096,0.000359286798036056,0.00594060105736338,0.00524794323032993,0.00087406821030411,0.000441157068408206
"12_F_2020-06-01_08-30_R.png",0.832340288183352,0.00954465993799063,0.0391251543166247,0.0657206232978052,0.0324288729938839,0.000167863504000452,0.000924132764128806,0.0169006153817157,0.00196370849942985,0.000884081121069049
"12_F_2020-06-02_08-20_R.png",0.832307304477303,0.0127152186819711,0.0453944144449785,0.0732456202350325,0.00535101731173372,8.95272021335746e-05,0.000126633871438938,0.0271573699735188,0.00279654707717245,0.000816346724717989
"12_F_2020-06-03_08-30_R.png",0.834693322213112,0.00774351398980332,0.0610787556661295,0.0651163146834035,0.010091836061557,0.000142536729712665,0,0.0189697539415529,0.00215984375147249,4.12296325615146e-06
"12_F_2020-06-04_09-00_V.png",0.834595549084467,0.0157874153025548,0.0443948903527372,0.0422745092495736,0.00204204480129673,0.000107197044659938,0,0.0540467473353877,0.00654490967176501,0.000206737157558452
"12_F_2020-06-05_09-30_V.png",0.833838101834836,0.0250458237916184,0.0526001762272295,0.0238130577780291,0.000512425433264539,9.42391601406048e-05,0,0.0574699848274952,0.00658849528333003,3.76956640562419e-05
"12_F_2020-06-06_10-50_V.png",0.837167100166803,0.0501741068483598,0.028896082478113,0.00843028186932798,0.000391681509334389,6.95013806036961e-05,0,0.0566901557773317,0.0172416433424745,0.000939446627651654
"12_F_2020-06-07_11-50_V.png",0.837988158849528,0.0513603422766296,0.00245198514790836,0.000256801711383148,0.000406995372857237,7.00903753545748e-05,0,0.0434324729298012,0.0577903979719733,0.00624275536456419
"12_F_2020-06-08_09-10_V.png",0.836111621573228,0.0568120776907636,0.00221108629479894,0.000163740540744301,0.000287429438428845,5.41875170808478e-05,0,0.0288059662812285,0.0700155730212132,0.00553831764251317
"12_F_2020-06-09_11-20_O.png",0.840597405595921,0.0428046045253645,0.00102485086652908,0.000216750068323391,0.000376367645811541,7.42133386107263e-05,0,0.0152791128325464,0.0925528681688389,0.00707382695805415
